Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Risedronate,Bisphosphonate,Osteoporosis,Tablet,35 mg,Oral,Paget's disease,GI upset,Calcium supplements and other oral medications can interfere with absorption Risk of esophageal irritation and osteonecrosis of the jaw.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Risperidone,Atypical Antipsychotic,Schizophrenia,Tablet,1 mg,Oral,bipolar disorder,Weight gain,Strong CYP2D6 inhibitors may increase levels Can cause hyperprolactinemia and metabolic changes.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ritonavir,Protease Inhibitor,HIV infection (often as booster),Tablet,100 mg,Oral,Nausea,diarrhea,A strong inhibitor of CYP3A4 affecting many drugs Can cause GI intolerance hepatotoxicity and pancreatitis.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Rivaroxaban,Direct Oral Anticoagulant (Factor Xa Inhibitor),Stroke prevention in atrial fibrillation,Tablet,20 mg,Oral,VTE treatment,Bleeding,Strong dual inducers of CYP3A4 and P-gp decrease levels increasing stroke risk Risk of serious and fatal bleeding discontinue if active bleeding occurs.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Risk of hemorrhage),Prescription
Rivastigmine,Cholinesterase Inhibitor,Alzheimer's disease,Capsule,4.5 mg,Oral,Parkinson's disease dementia,Nausea,Other cholinergic agents can have additive effects Can cause nausea vomiting and weight loss.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Rizatriptan,5-HT1 Agonist,Migraine attacks,Tablet,10 mg,Oral,Dizziness,drowsiness,MAOIs and other 5-HT1 agonists can have additive effects Contraindicated in ischemic heart disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Ropinirole,Dopamine Agonist,Parkinson's disease,Tablet,1 mg,Oral,restless legs syndrome,Nausea,CYP1A2 inhibitors may increase levels Can cause somnolence and impulse control disorders.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ropivacaine,Local Anesthetic,Local / regional anesthesia,Solution,2 mg/mL,Injection,Hypotension,nausea,Other local anesthetics or drugs that cause methemoglobinemia can have additive effects Can cause CNS toxicity and methemoglobinemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Rosiglitazone,Thiazolidinedione,Type 2 diabetes,Tablet,4 mg,Ooral,Weight gain,edema,Strong CYP2C8 inhibitors may increase levels Can cause or exacerbate congestive heart failure and myocardial ischemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Rosuvastatin,Statin,Hyperlipidemia,Tablet,10 mg,Oral,Headache,myalgia,Not significantly metabolized by CYP450 enzymes fewer interactions Can cause myopathy and rhabdomyolysis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Rotigotine,Dopamine Agonist,Parkinson's disease,Patch,2 mg/24 hr,Transdermal,restless legs syndrome,Nausea,CYP450 inhibitors are unlikely to significantly affect levels due to transdermal administration Can cause application site reactions and impulse control disorders.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ruxolitinib,JAK Inhibitor,Myelofibrosis,Tablet,5 mg,Oral,polycythemia vera,Thrombocytopenia,Strong CYP3A4 inhibitors may increase levels Can cause serious infections and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sacubitril-Valsartan,ARNI,Heart failure,Tablet,24/26 mg,Oral,Hyperkalemia,hypotension,ACE inhibitors are contraindicated due to increased risk of angioedema Can cause angioedema and hyperkalemia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB/ARNI risk),Prescription
Salicylic Acid,Keratolytic,Psoriasis,Solution,6%,Topical,warts,acne,No significant drug interactions For topical use only excessive use can lead to salicylism.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Salmeterol,LABA,Asthma,Inhaler,50 mcg/actuation,Inhalation,COPD,Headache,Other adrenergic drugs can have additive cardiovascular effects Can cause paradoxical bronchospasm and increase the risk of asthma-related death.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Saquinavir,Protease Inhibitor,HIV infection,Tablet,500 mg,Oral,Diarrhea,nausea,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause GI intolerance and hepatotoxicity.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Saxagliptin,DPP-4 Inhibitor,Type 2 diabetes,Tablet,5 mg,Oral,Nasopharyngitis,headache,Strong CYP3A4/5 inhibitors may increase levels May cause hypersensitivity reactions including anaphylaxis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Scopolamine,Anticholinergic,Motion sickness,Patch,1 mg/72 hr,Transdermal,nausea,Dry mouth,Other anticholinergic drugs can have additive effects Can cause drowsiness and confusion.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Secobarbital,Barbiturate,Insomnia,Capsule,100 mg,Oral,Sedation,dizziness,CNS depressants may enhance sedative effects Can cause respiratory depression and dependence.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Selegiline,MAOI,Parkinson's disease,Tablet,5 mg,Oral,Nausea,dizziness,Other MAOIs and sympathomimetics can cause hypertensive crisis Can cause hypertensive crisis if tyramine-rich foods are consumed in high doses.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Selenium Sulfide,Antifungal / Antiseborrheic,Dandruff,Lotion,2.50%,Topical,seborrheic dermatitis,Hair discoloration,No significant drug interactions For topical use only can cause hair discoloration.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Sertaconazole,Antifungal,Fungal skin infections,Cream,2%,Topical,Skin irritation,burning,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sertraline,SSRI,Depression,Tablet,50 mg,Oral,anxiety disorders,Nausea,MAOIs can cause serotonin syndrome and CYP2D6 inhibitors may increase levels May increase risk of bleeding especially with NSAIDs or warfarin.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Sevelamer,Phosphate Binder,Hyperphosphatemia in CKD,Tablet,800 mg,Oral,Nausea,constipation,Can decrease the absorption of many other drugs administer other drugs 1 hour before or 3 hours after Can cause GI side effects and hypocalcemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sildenafil,PDE5 Inhibitor,Erectile dysfunction,Tablet,50 mg,Oral,PAH,Headache,Nitrates can cause severe hypotension Can cause priapism and sudden hearing loss.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Silodosin,Alpha-1 Blocker,BPH,Capsule,8 mg,Oral,Retrograde ejaculation,dizziness,Other antihypertensive drugs can have additive effects Can cause retrograde ejaculation and orthostatic hypotension.,Room Temperature,Animal studies have demonstrated safety,No data; not indicated for use in women,Prescription
Simeprevir,Protease Inhibitor,Hepatitis C,Capsule,150 mg,Oral,Rash,photosensitivity,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause photosensitivity and rash.,Room Temperature,Animal studies have demonstrated safety,No data; use only if benefit justifies risk,Prescription
Simvastatin,Statin,Hyperlipidemia,Tablet,20 mg,Oral,Headache,myalgia,Strong CYP3A4 inhibitors (eg itraconazole) can significantly increase levels and risk of myopathy Can cause myopathy and rhabdomyolysis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sirolimus,Immunosuppressant,Organ transplant rejection,Tablet,1 mg,Oral,Stomatitis,hyperlipidemia,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause hyperlipidemia and immunosuppression.,Refrigerate,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sitagliptin,DPP-4 Inhibitor,Type 2 diabetes,Tablet,100 mg,Oral,Nasopharyngitis,headache,No significant drug interactions May cause hypersensitivity reactions including anaphylaxis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sodium Bicarbonate,Alkalinizing Agent,Metabolic acidosis,Tablet,650 mg,Oral,hyperkalemia,Alkalosis,Can decrease the levels of many drugs by increasing urinary pH Can cause metabolic alkalosis and fluid overload.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Sodium Chloride,Electrolyte,Hyponatremia,Solution,0.90%,Intravenous,fluid replacement,Fluid overload,No significant drug interactions Can cause hypernatremia and fluid overload.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sodium Oxybate,CNS Depressant,Cataplexy,Solution,500 mg/mL,Oral,excessive daytime sleepiness in narcolepsy,Nausea,CNS depressants including alcohol can cause profound sedation and respiratory depression Can cause sleepwalking and respiratory depression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sodium Phenylbutyrate,Urea Cycle Disorder Agent,Urea cycle disorders,Powder,3 g,Oral,Amenorrhea,body odor,No significant drug interactions Can cause body odor and menstrual irregularities.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sofosbuvir,NS5B Polymerase Inhibitor,Hepatitis C,Tablet,400 mg,Oral,Fatigue,headache,Strong P-gp inducers may decrease levels Generally well-tolerated with fatigue and headache being common.,Room Temperature,Animal studies have demonstrated safety,No data; use with ribavirin is X,Prescription
Solifenacin,Anticholinergic,Overactive bladder,Tablet,5 mg,Oral,Dry mouth,constipation,Strong CYP3A4 inhibitors may increase levels Can cause blurred vision and urinary retention.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Somatropin,Growth Hormone,Growth hormone deficiency,Solution,5 mg,Subcutaneous,Injection site reactions,edema,Glucocorticoids may inhibit the growth-promoting effects Can cause glucose intolerance and slipped capital femoral epiphysis in children.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sorafenib,Kinase Inhibitor,Renal cell carcinoma,Tablet,200 mg,Ooral,hepatocellular carcinoma,Hand-foot skin reaction,Strong CYP3A4 inducers may decrease efficacy Can cause hand-foot skin reaction and hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sotalol,Antiarrhythmic (Class III),Ventricular arrhythmias,Tablet,80 mg,Oral,atrial fibrillation,Fatigue,Other drugs that lower heart rate or prolong QT interval can have additive effects Can cause life-threatening ventricular arrhythmias particularly torsades de pointes.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Beta-blocker risk),Prescription
Spironolactone,Aldosterone Antagonist,Heart failure,Tablet,25 mg,Oral,hypertension,hyperaldosteronism,ACE inhibitors and ARBs may increase risk of hyperkalemia Can cause hyperkalemia and gynecomastia.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Stavudine,NRTI,HIV infection,Capsule,40 mg,Oral,Peripheral neuropathy,pancreatitis,Other drugs that cause peripheral neuropathy or pancreatitis increase risk Can cause peripheral neuropathy and pancreatitis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Streptomycin,Aminoglycoside Antibiotic,Tuberculosis,Powder for Injection,1 g,Intramuscular,Ototoxicity,nephrotoxicity,Other nephrotoxic or ototoxic drugs increase risk of toxicity Can cause ototoxicity and nephrotoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Aminoglycoside risk of ototoxicity),Prescription
Succimer,Heavy Metal Chelator,Lead poisoning,Capsule,100 mg,Oral,Rash,nausea,No significant drug interactions Can cause rash and elevated liver enzymes.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sucralfate,GI Protectant,Peptic ulcer disease,Tablet,1 g,Oral,Constipation,nausea,Can decrease the absorption of many other drugs administer other drugs 2 hours before or after Can cause constipation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sufentanil,Opioid Agonist,Anesthesia,Solution,30 mcg/mL,Intravenous,analgesia,Respiratory depression,CNS depressants including alcohol and benzodiazepines increase sedation risk Life-threatening respiratory depression may occur.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Sulfacetamide,Sulfonamide Antibiotic,Bacterial eye infections,Solution,10%,Ophthalmic,Stinging,burning,No significant drug interactions For ophthalmic use only can cause local irritation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Sulfadiazine,Sulfonamide Antibiotic,Toxoplasmosis,Tablet,500 mg,Oral,other infections,Nausea,May potentiate the effects of warfarin and sulfonylureas Can cause crystalluria and Stevens-Johnson syndrome.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Kernicterus risk),Prescription
Sulfamethoxazole,Sulfonamide Antibiotic,Bacterial infections (often combined with trimethoprim),Tablet,400 mg,Oral,Nausea,rash,May potentiate the effects of warfarin and sulfonylureas Can cause Stevens-Johnson syndrome and blood dyscrasias.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Kernicterus risk; usually with trimethoprim),Prescription
Sulfasalazine,5-ASA Derivative,Ulcerative colitis,Tablet,500 mg,Oral,rheumatoid arthritis,Nausea,May reduce absorption of digoxin and folic acid Can cause oligospermia and orange-yellow discoloration of urine and skin.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Kernicterus risk),Prescription
Sulfinpyrazone,Uricosuric,Gout,Tablet,200 mg,Oral,GI upset,rash,Salicylates antagonize the uricosuric effect Can cause GI upset and blood dyscrasias.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Kernicterus risk),Prescription
Sulindac,NSAID,Osteoarthritis,Tablet,200 mg,Oral,rheumatoid arthritis,gout,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Sumatriptan,5-HT1 Agonist,Migraine attacks,Tablet,100 mg,Oral,Chest pain,dizziness,Other 5-HT1 agonists and MAOIs can have additive effects Contraindicated in ischemic heart disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Sunitinib,Kinase Inhibitor,Renal cell carcinoma,Capsule,50 mg,Oral,GIST,Fatigue,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause hepatotoxicity and left ventricular dysfunction.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tacrolimus,Calcineurin Inhibitor,Organ transplant rejection,Capsule,1 mg,Oral,immunosuppression,Nephrotoxicity,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause nephrotoxicity and neurotoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Tadalafil,PDE5 Inhibitor,Erectile dysfunction,Tablet,10 mg,Oral,BPH,PAH,Nitrates can cause severe hypotension Can cause priapism and back pain.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tamoxifen,SERM,Breast cancer,Tablet,20 mg,Oral,Hot flashes,vaginal discharge,Strong CYP2D6 inhibitors may decrease levels of active metabolite Increases risk of thromboembolism and endometrial cancer.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Tamsulosin,Alpha-1 Blocker,BPH,Capsule,0.4 mg,Oral,Retrograde ejaculation,dizziness,Other antihypertensive drugs can have additive effects Can cause retrograde ejaculation and orthostatic hypotension.,Room Temperature,Animal studies have demonstrated safety,No data; not indicated for use in women,Prescription
Tapentadol,Opioid Agonist,Pain,Tablet,50 mg,Oral,Constipation,nausea,CNS depressants including alcohol and benzodiazepines increase sedation risk MAOIs can cause serotonin syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tazarotene,Retinoid,Plaque psoriasis,Gel,0.10%,Topical,acne,Skin irritation,No significant drug interactions Highly teratogenic females must use effective contraception.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tedizolid,Oxazolidinone Antibiotic,Bacterial skin infections,Tablet,200 mg,Oral,Nausea,headache,No significant drug interactions Can cause myelosuppression and peripheral neuropathy.,Room Temperature,Animal studies have demonstrated safety,No data; likely C,Prescription
Telavancin,Lipoglycopeptide Antibiotic,Complicated skin infections,Powder for Injection,750 mg,Intravenous,Taste disturbance,nausea,QT-prolonging drugs may have additive effects Can cause nephrotoxicity and fetal toxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Telbivudine,Nucleoside Reverse Transcriptase Inhibitor,Hepatitis B,Tablet,600 mg,Oral,Creatine kinase elevation,fatigue,No significant drug interactions Can cause myopathy and peripheral neuropathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Telithromycin,Ketolide Antibiotic,Bacterial infections,Tablet,800 mg,Oral,Diarrhea,nausea,Other QT-prolonging drugs may have additive effects Contraindicated in myasthenia gravis due to risk of life-threatening respiratory failure.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Telmisartan,ARB,Hypertension,Tablet,80 mg,Oral,Hyperkalemia,dizziness,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Temazepam,Benzodiazepine,Insomnia,Capsule,15 mg,Oral,Sedation,dizziness,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Temozolomide,Alkylating Agent,Brain tumors,Capsule,5 mg,Oral,Myelosuppression,nausea,Valproic acid may decrease clearance Can cause severe myelosuppression and pneumocystis pneumonia prophylaxis is required.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Temsirolimus,mTOR Inhibitor,Renal cell carcinoma,Solution,25 mg/mL,Intravenous,Rash,asthenia,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause hyperglycemia and interstitial lung disease.,Refrigerate,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tenecteplase,Thrombolytic,Acute myocardial infarction,Powder for Injection,50 mg,Intravenous,Bleeding,arrhythmia,Other drugs that affect hemostasis increase bleeding risk Can cause serious and fatal bleeding especially intracranial hemorrhage.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tenofovir,NRTI,HIV infection,Tablet,300 mg,Oral,Hepatitis B,Nausea,Other nephrotoxic drugs increase risk of renal impairment Can cause renal impairment and decreased bone mineral density.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Terazosin,Alpha-1 Blocker,Hypertension,Capsule,2 mg,Oral,BPH,Dizziness,Other antihypertensive drugs can have additive effects Can cause marked first-dose hypotension and syncope.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Terbinafine,Antifungal,Fungal nail infections,Tablet,250 mg,Oral,other fungal infections,Headache,Strong CYP2D6 inhibitors may increase levels Can cause taste disturbance and hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Terbutaline,Beta-2 Agonist,Asthma,Tablet,5 mg,Oral,bronchospasm,tocolysis,Beta-blockers may antagonize the effects Can cause paradoxical bronchospasm and cardiovascular effects.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Terconazole,Antifungal,Vaginal yeast infections,Cream,0.80%,Vaginal,Vaginal burning,itching,No significant drug interactions For vaginal use only can cause vulvovaginal burning.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Teriparatide,Parathyroid Hormone Analog,Osteoporosis,Solution,20 mcg/80 mL,Subcutaneous,Dizziness,leg cramps,No significant drug interactions Can cause orthostatic hypotension and increased risk of osteosarcoma.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Testosterone,Androgen,Hypogonadism,Gel,5 mg/24 hr,Topical,Acne,edema,Corticosteroids may increase edema risk and anticoagulants may have increased effects Can cause polycythemia and increased risk of cardiovascular events.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tetrabenazine,Vesicular Monoamine Transporter 2 (VMAT2) Inhibitor,Huntington's disease chorea,Tablet,25 mg,Oral,Sedation,parkinsonism,Strong CYP2D6 inhibitors may increase levels Can cause depression and suicidal ideation and is contraindicated in untreated depression.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tetracycline,Tetracycline Antibiotic,Bacterial infections,Capsule,500 mg,Oral,acne,Photosensitivity,Antacids and calcium supplements decrease absorption Can cause photosensitivity and tooth discoloration in children.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Tooth discoloration risk),Prescription
Thalidomide,Immunomodulatory Agent,Multiple myeloma,Capsule,50 mg,Oral,leprosy,Peripheral neuropathy,CNS depressants may enhance sedative effects Is a known human teratogen and requires strict pregnancy prevention program.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (STEPS program),Prescription
Theophylline,Xanthine Derivative,Asthma,Tablet (ER),300 mg,Oral,COPD,bronchospasm,Many drugs can increase (eg ciprofloxacin) or decrease (eg phenytoin) levels due to CYP1A2 metabolism Has a narrow therapeutic index and can cause seizures and arrhythmias in overdose.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Thioguanine,Antimetabolite,Leukemia,Tablet,40 mg,Oral,Myelosuppression,nausea,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and hepatotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Thioridazine,Typical Antipsychotic,Schizophrenia,Tablet,50 mg,Oral,Extrapyramidal symptoms,sedation,Strong CYP2D6 inhibitors are contraindicated due to risk of QT prolongation Can cause QT prolongation and retinopathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Thiotepa,Alkylating Agent,Various cancers,Powder for Injection,15 mg,Intravenous,Myelosuppression,nausea,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tiagabine,Anticonvulsant,Seizures,Tablet,12 mg,Oral,Dizziness,somnolence,Strong CYP3A4 inducers may decrease efficacy Can cause seizures in patients without epilepsy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ticagrelor,P2Y12 Inhibitor,Acute coronary syndrome,Tablet,90 mg,Oral,Bleeding,dyspnea,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause dyspnea and serious bleeding.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ticarcillin-Clavulanate,Penicillin Antibiotic + Beta-Lactamase Inhibitor,Bacterial infections,Powder for Injection,3.1 g,Intravenous,Diarrhea,nausea,Probenecid may decrease excretion May cause hypokalemia and bleeding diathesis.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Ticlopidine,Antiplatelet,Stroke prevention (alternative),Tablet,250 mg,Oral,Diarrhea,neutropenia,Proton pump inhibitors may reduce its antiplatelet effect Can cause severe neutropenia and thrombotic thrombocytopenic purpura (TTP).,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tigecycline,Glycylcycline Antibiotic,Complicated infections,Powder for Injection,50 mg,Intravenous,Nausea,vomiting,Warfarin metabolism may be affected increasing INR Can increase all-cause mortality and is reserved for use when alternatives are not suitable.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Timolol,Beta-Blocker,Glaucoma,Solution,0.50%,Ophthalmic,hypertension,angina,Other drugs that lower heart rate or blood pressure can have additive effects Can cause bronchospasm in patients with asthma.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Beta-blocker risk),Prescription
Tinidazole,Nitroimidazole Antibiotic,Amebiasis,Tablet,500 mg,Oral,giardiasis,trichomoniasis,Disulfiram-like reaction can occur with alcohol Can cause peripheral neuropathy and seizures with prolonged use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tioconazole,Antifungal,Vaginal yeast infections,Ointment,6.50%,Vaginal,Vaginal burning,itching,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Tiotropium,Anticholinergic,COPD,Capsule for Inhalation,18 mcg,Inhalation,Dry mouth,constipation,Other anticholinergic drugs can have additive effects Can cause paradoxical bronchospasm and narrow-angle glaucoma.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tipranavir,Protease Inhibitor,HIV infection,Capsule,250 mg,Oral,Diarrhea,nausea,Strong CYP3A4 inducers are contraindicated as they significantly decrease levels Can cause hepatotoxicity and intracranial hemorrhage.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tirofiban,Glycoprotein IIb/IIIa Inhibitor,Acute coronary syndrome,Solution,50 mcg/mL,Intravenous,Bleeding,dizziness,Other drugs that affect hemostasis increase bleeding risk Can cause severe bleeding and thrombocytopenia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tizanidine,Alpha-2 Agonist,Muscle spasticity,Tablet,4 mg,Oral,Sedation,dry mouth,Strong CYP1A2 inhibitors (eg fluvoxamine) can significantly increase levels Can cause hypotension and sedation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tobramycin,Aminoglycoside Antibiotic,Bacterial infections,Solution,0.30%,Ophthalmic,Nephrotoxicity,ototoxicity,Other nephrotoxic or ototoxic drugs increase risk of toxicity Monitor peak and trough levels to minimize risk of nephrotoxicity and ototoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Aminoglycoside risk of ototoxicity),Prescription
Tocilizumab,IL-6 Receptor Antagonist,Rheumatoid arthritis,Solution,162 mg/0.9 mL,Subcutaneous,Upper respiratory infection,increased cholesterol,May increase metabolism of CYP450 substrates due to reversal of inflammation-induced suppression Can cause serious infections and gastrointestinal perforations.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tofacitinib,JAK Inhibitor,Rheumatoid arthritis,Tablet,5 mg,Oral,psoriatic arthritis,Upper respiratory infection,Strong CYP3A4 inhibitors may increase levels Can cause serious infections and increased risk of malignancy.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tolazamide,Sulfonylurea,Type 2 diabetes,Tablet,250 mg,Oral,Hypoglycemia,nausea,Drugs that increase hypoglycemia risk (eg beta-blockers) Can cause severe and prolonged hypoglycemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Sulfonylurea risk of hypoglycemia),Prescription
Tolbutamide,Sulfonylurea,Type 2 diabetes,Tablet,500 mg,Oral,Hypoglycemia,nausea,Drugs that increase hypoglycemia risk (eg beta-blockers) Can cause severe and prolonged hypoglycemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Sulfonylurea risk of hypoglycemia),Prescription
Tolcapone,COMT Inhibitor,Parkinson's disease,Tablet,100 mg,Oral,Diarrhea,urine discoloration,Nonselective MAOIs are contraindicated Can cause hepatotoxicity requiring frequent liver monitoring.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
