unii,name,classes,usage,side_effects,contraindications
KK3,Rufinamide,"Anticonvulsant",Adjunctive treatment of seizures associated with Lennox-Gastaut syndrome,"Somnolence, vomiting, headache",Shortens the QT interval.
LL3,Ruxolitinib,"JAK inhibitor",Treatment of myelofibrosis and polycythemia vera,"Thrombocytopenia, anemia, bruising",N/A
MM3,Sacubitril/valsartan,"Neprilysin inhibitor/ARB",Treatment of heart failure with reduced ejection fraction,"Hypotension, hyperkalemia, cough",Do not administer with or within 36 hours of an ACE inhibitor.
NN3,Salmeterol,"Long-acting beta-2 agonist (LABA)",Treatment of asthma and COPD (always with an inhaled corticosteroid in asthma),"Increased risk of asthma-related death when used as monotherapy in asthma (boxed warning), tremor",N/A
OO3,Sapropterin,"Synthetic BH4",Reduces blood phenylalanine levels in patients with phenylketonuria (PKU),"Headache, rhinorrhea",N/A
PP3,Saquinavir,"Protease inhibitor",Treatment of HIV infection (with ritonavir),"Nausea, diarrhea, QT prolongation",Must be boosted with ritonavir.
QQ3,Sarilumab,"IL-6 receptor antagonist",Treatment of rheumatoid arthritis,"Neutropenia, increased ALT, injection site erythema",N/A
RR3,Saxagliptin,"DPP-4 inhibitor",Improves glycemic control in type 2 diabetes,"Upper respiratory tract infection, headache, increased risk of heart failure hospitalization",N/A
SS3,Scopolamine,"Anticholinergic",Prevention of motion sickness and postoperative nausea/vomiting,"Dry mouth, drowsiness, blurred vision",Available as a transdermal patch.
TT3,Secobarbital,"Barbiturate",Short-term treatment of insomnia, pre-operative sedation,"Respiratory depression, dependence",Controlled substance.
UU3,Secukinumab,"IL-17A antagonist",Treatment of psoriasis, psoriatic arthritis, and ankylosing spondylitis,"Nasopharyngitis, increased risk of infections",N/A
VV3,Selexipag,"IP prostacyclin receptor agonist",Treatment of pulmonary arterial hypertension (PAH),"Headache, diarrhea, jaw pain",Active metabolite has greater potency.
WW3,Selinexor,"Selective inhibitor of nuclear export (SINE)",Treatment of multiple myeloma and diffuse large B-cell lymphoma,"Thrombocytopenia, nausea, fatigue",N/A
XX3,Sertraline,"SSRI antidepressant",Treatment of depression, OCD, panic disorder, and PTSD,"Nausea, diarrhea, insomnia",N/A
YY3,Sevelamer,"Phosphate binder",Controls phosphorus levels in patients with chronic kidney disease on dialysis,"Nausea, vomiting, diarrhea",Take with meals.
ZZ3,Sildenafil,"PDE-5 inhibitor",Treatment of erectile dysfunction and pulmonary arterial hypertension,"Headache, flushing, visual disturbances",Contraindicated with nitrates.
A17,Silodosin,"Alpha-1A blocker",Treatment of benign prostatic hyperplasia (BPH),"Retrograde ejaculation, dizziness, orthostatic hypotension",N/A
B17,Siltuximab,"IL-6 antagonist",Treatment of multicentric Castleman's disease,"Pruritus, rash, upper respiratory tract infection",N/A
C17,Simeprevir,"HCV protease inhibitor",Treatment of chronic hepatitis C,"Photosensitivity, rash, nausea",No longer recommended as a preferred therapy.
D17,Simvastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Myopathy, hepatotoxicity",Increased risk of myopathy at 80mg dose; many drug interactions via CYP3A4.
E17,Siponimod,"Sphingosine 1-phosphate receptor modulator",Treatment of secondary progressive multiple sclerosis (SPMS),"Headache, hypertension, liver function test elevation",Requires CYP2C9 genotyping before use.
F17,Sirolimus,"mTOR inhibitor",Prevention of organ transplant rejection; treatment of lymphangioleiomyomatosis,"Myelosuppression, hyperlipidemia, mouth ulcers",Requires therapeutic drug monitoring.
G17,Sitagliptin,"DPP-4 inhibitor",Improves glycemic control in type 2 diabetes,"Nasopharyngitis, potential for pancreatitis and severe joint pain",N/A
H17,Sofosbuvir,"HCV NS5B polymerase inhibitor",Treatment of chronic hepatitis C (as part of a combination regimen),"Fatigue, headache",Backbone of many modern HCV regimens.
I17,Solifenacin,"Anticholinergic",Treatment of overactive bladder (OAB),"Dry mouth, constipation, blurred vision",N/A
J17,Somatropin,"Growth hormone",Treatment of growth hormone deficiency,"Peripheral edema, arthralgia, hyperglycemia",N/A
K17,Sonidegib,"Hedgehog pathway inhibitor",Treatment of locally advanced basal cell carcinoma,"Musculoskeletal pain, alopecia, dysgeusia",Teratogenic.
L17,Sorafenib,"Kinase inhibitor",Treatment of hepatocellular carcinoma, renal cell carcinoma, and thyroid cancer,"Hand-foot skin reaction, diarrhea, hypertension",N/A
M17,Sotalol,"Beta-blocker/Antiarrhythmic",Treatment of ventricular and atrial arrhythmias,"Bradycardia, fatigue, QT prolongation (requires monitoring)",Class III antiarrhythmic properties.
N17,Spironolactone,"Aldosterone antagonist/Potassium-sparing diuretic",Treatment of heart failure, hypertension, and edema; also used for acne and hirsutism,"Hyperkalemia, gynecomastia",N/A
O17,Stavudine (d4T),"Nucleoside reverse transcriptase inhibitor (NRTI)",Treatment of HIV infection (largely obsolete),"Peripheral neuropathy, pancreatitis, lipoatrophy",High rate of toxicities.
P17,Streptokinase,Thrombolytic,Treatment of ST-elevation myocardial infarction, pulmonary embolism, DVT,"Bleeding, hypotension, allergic reactions",Antigenic; can only be used once.
Q17,Streptomycin,"Aminoglycoside antibiotic",Treatment of tuberculosis and other serious infections,"Nephrotoxicity, ototoxicity",N/A
R17,Succinylcholine,"Depolarizing neuromuscular blocker",Skeletal muscle relaxation for intubation or surgery,"Malignant hyperthermia, hyperkalemia, muscle fasciculations",Rapid onset and short duration.
S17,Sucralfate,"Mucosal protectant",Treatment of ulcers,"Constipation",Can bind to and inhibit absorption of other drugs.
T17,Sufentanil,"Opioid analgesic",Analgesia and anesthesia,"Respiratory depression, bradycardia, muscle rigidity",Extremely potent; about 5-10 times more potent than fentanyl.
U17,Sugammadex,"Selective relaxant binding agent",Reversal of neuromuscular blockade induced by rocuronium or vecuronium,"Anaphylaxis, bradycardia",N/A
V17,Sulconazole,Antifungal,Topical treatment of tinea infections,N/A,N/A
W17,Sulfacetamide,Sulfonamide antibiotic,Topical/ophthalmic treatment of bacterial infections,"Local irritation, hypersensitivity reactions",N/A
X17,Sulfamethoxazole/Trimethoprim (SMX/TMP),Antibiotic combination,Treatment of various bacterial infections, especially UTIs, PJP, and MRSA,"Rash (including Stevens-Johnson syndrome), hyperkalemia, myelosuppression",Allergy to sulfa drugs.
Y17,Sulfasalazine,"Aminosalicylate/DMARD",Treatment of ulcerative colitis and rheumatoid arthritis,"Nausea, headache, rash",Can cause yellow-orange discoloration of skin and urine.
Z17,Sulindac,NSAID,Relief of pain and inflammation,GI upset, increased risk of cardiovascular events,Prodrug.
AA4,Sumatriptan,5-HT1 receptor agonist (triptan),Acute treatment of migraine and cluster headaches,Chest tightness/pressure, dizziness, tingling sensations,Contraindicated in ischemic heart disease.
BB4,Sunitinib,Kinase inhibitor,Treatment of renal cell carcinoma, GIST, and pancreatic neuroendocrine tumors,Hepatotoxicity (boxed warning), fatigue, diarrhea, skin discoloration,N/A
CC4,Suvorexant,Orexin receptor antagonist,Treatment of insomnia,Next-day somnolence,N/A
DD4,Tacrolimus,Calcineurin inhibitor,Prevention of organ transplant rejection; topical use for atopic dermatitis,Nephrotoxicity, hypertension, neurotoxicity, increased risk of infections and malignancy (boxed warnings),Requires therapeutic drug monitoring.
EE4,Tadalafil,PDE-5 inhibitor,Treatment of erectile dysfunction, BPH, and pulmonary arterial hypertension,Headache, flushing, back pain,Contraindicated with nitrates.
FF4,Tafamidis,Transthyretin stabilizer,Treatment of the cardiomyopathy of wild-type or hereditary transthyretin-mediated amyloidosis,Urinary tract infection, diarrhea,N/A
GG4,Tamoxifen,Selective estrogen receptor modulator (SERM),Treatment and prevention of breast cancer,Hot flashes, increased risk of uterine cancer and venous thromboembolism,N/A
HH4,Tamsulosin,Alpha-1A blocker,Treatment of benign prostatic hyperplasia (BPH),Dizziness, retrograde ejaculation,More selective for alpha-1A receptors in the prostate, less likely to cause hypotension.
II4,Tapentadol,Opioid agonist/Norepinephrine reuptake inhibitor,Relief of moderate to severe pain,Nausea, dizziness, somnolence, seizure risk,Controlled substance.
JJ4,Tazarotene,Retinoid,Topical treatment of psoriasis, acne, and photoaging,Skin irritation, photosensitivity,Teratogenic.
KK4,Tedizolid,Oxazolidinone antibiotic,Treatment of acute bacterial skin and skin structure infections (ABSSSI),Nausea, headache, diarrhea,Similar to linezolid but may have less risk of myelosuppression.
LL4,Tegaserod,5-HT4 receptor partial agonist,Treatment of IBS-C in women under 65,Increased risk of heart attack, stroke, and unstable angina (boxed warning),Use is restricted.
MM4,Telavancin,Lipoglycopeptide antibiotic,Treatment of complicated skin infections and hospital-acquired pneumonia,"Increased mortality in patients with pre-existing renal impairment (boxed warning), nephrotoxicity, QT prolongation",N/A
NN4,Telbivudine,Nucleoside analog,Treatment of chronic hepatitis B,"Fatigue, headache, myopathy",Risk of lactic acidosis.
OO4,Telmisartan,Angiotensin II receptor blocker (ARB),Treatment of hypertension,Dizziness, hyperkalemia,Avoid in pregnancy.
PP4,Temazepam,Benzodiazepine,Short-term treatment of insomnia,Drowsiness, dizziness, dependence,N/A
QQ4,Temsirolimus,mTOR inhibitor,Treatment of advanced renal cell carcinoma,Myelosuppression, rash, hyperglycemia,Administered IV.
RR4,Tenofovir alafenamide (TAF),Nucleoside reverse transcriptase inhibitor (NRTI),Treatment of HIV and chronic hepatitis B,Generally well-tolerated, lower risk of renal and bone toxicity than TDF,Prodrug that delivers tenofovir more efficiently to target cells.
SS4,Tenofovir disoproxil fumarate (TDF),Nucleoside reverse transcriptase inhibitor (NRTI),Treatment of HIV and chronic hepatitis B,"Nephrotoxicity, bone mineral density loss",N/A
TT4,Terazosin,Alpha-1 blocker,Treatment of hypertension and BPH,First-dose syncope, dizziness,N/A
UU4,Terbinafine,Antifungal,Treatment of fungal infections of the nail (oral) and skin (topical),"Hepatotoxicity (oral use), headache, rash",Requires monitoring of liver function for oral use.
VV4,Terbutaline,Beta-2 adrenergic agonist,Treatment of asthma (bronchospasm); tocolytic to delay preterm labor (off-label),"Tachycardia, tremor, nervousness","Use as a tocolytic has a boxed warning against prolonged use (> 48-72 hours) due to risk of serious maternal heart problems and death."
WW4,Terconazole,Azole antifungal,Topical treatment of vulvovaginal candidiasis,Local irritation, headache,N/A
XX4,Testosterone,Androgen,Testosterone replacement therapy,Increased risk of cardiovascular events, prostate cancer; virilization in women and children upon contact,Controlled substance.
YY4,Tetrabenazine,Vesicular monoamine transporter 2 (VMAT2) inhibitor,Treatment of chorea associated with Huntington's disease,"Depression and suicidality (boxed warning), parkinsonism, somnolence",N/A
ZZ4,Tetracycline,Tetracycline antibiotic,Treatment of various bacterial infections, acne,GI upset, photosensitivity, tooth discoloration in children,Do not take with dairy or antacids.
A18,Thalidomide,Immunomodulatory agent,Treatment of multiple myeloma and erythema nodosum leprosum,"Severe life-threatening birth defects (boxed warning), thromboembolism, peripheral neuropathy",Requires enrollment in a restricted distribution program (REMS).
B18,Theophylline,Methylxanthine,Treatment of asthma and COPD,Tachycardia, nausea, seizures,Narrow therapeutic index; requires blood level monitoring.
C18,Thiabendazole,Anthelmintic,Treatment of various parasitic worm infections (largely replaced),Nausea, vomiting, dizziness,N/A
D18,Thioguanine,Purine antimetabolite,Treatment of acute myeloid leukemia (AML),Myelosuppression, hepatotoxicity,N/A
E18,Thioridazine,Typical antipsychotic,Treatment of schizophrenia (rarely used),QT prolongation (boxed warning), sedation, anticholinergic effects,Use is limited due to cardiotoxicity.
F18,Thiotepa,Alkylating agent,Treatment of various cancers,Myelosuppression,N/A
G18,Thiothixene,Typical antipsychotic,Treatment of schizophrenia,Extrapyramidal symptoms, sedation,N/A
H18,Tiagabine,Anticonvulsant,Adjunctive treatment of partial-onset seizures,"Can cause seizures in patients without epilepsy (boxed warning), dizziness, somnolence",N/A
I18,Ticagrelor,Antiplatelet agent,Reduces thrombotic events in patients with acute coronary syndrome,"Bleeding, dyspnea",Can cause bradyarrhythmias.
J18,Tigecycline,Glycylcycline antibiotic,Treatment of complicated skin, intra-abdominal, and community-acquired pneumonia infections,"Increased all-cause mortality (boxed warning), severe nausea and vomiting",Use only when alternative treatments are not suitable.
K18,Tildrakizumab,IL-23 inhibitor,Treatment of moderate-to-severe plaque psoriasis,Upper respiratory infections,N/A
L18,Timolol,Beta-blocker (non-selective),Ophthalmic use for glaucoma; oral use for hypertension and post-MI,Systemic side effects (bradycardia, bronchospasm) can occur even with ophthalmic use,N/A
M18,Tinidazole,Nitroimidazole antibiotic/antiprotozoal,Treatment of protozoal and anaerobic bacterial infections,Metallic taste, nausea, disulfiram-like reaction with alcohol,Similar to metronidazole, but with a longer half-life.
N18,Tiotropium,Long-acting muscarinic antagonist (LAMA),Maintenance treatment of COPD and asthma,Dry mouth,Inhaled once daily.
O18,Tipranavir,Protease inhibitor,Treatment of HIV infection (with ritonavir),Hepatotoxicity (boxed warning), intracranial hemorrhage (boxed warning), rash,Must be boosted with ritonavir.
P18,Tirofiban,Glycoprotein IIb/IIIa inhibitor,Used in acute coronary syndrome,Bleeding, thrombocytopenia,Administered IV.
Q18,Tizanidine,Alpha-2 adrenergic agonist,Management of spasticity,Hypotension, drowsiness, dry mouth, hepatotoxicity,N/A
R18,Tobramycin,Aminoglycoside antibiotic,Treatment of serious bacterial infections; inhaled formulation for cystic fibrosis,Nephrotoxicity, ototoxicity,Can be administered IV or by inhalation.
S18,Tocilizumab,IL-6 receptor antagonist,Treatment of rheumatoid arthritis and other inflammatory conditions,Increased risk of serious infections (boxed warning), infusion reactions,N/A
T18,Tofacitinib,JAK inhibitor,Treatment of rheumatoid arthritis, psoriatic arthritis, and ulcerative colitis,"Serious infections, malignancy, and thrombosis (boxed warnings)",N/A
U18,Tolbutamide,Sulfonylurea,Treatment of type 2 diabetes (rarely used),Hypoglycemia,Has been associated with increased cardiovascular mortality.
V18,Tolcapone,COMT inhibitor,Adjunctive therapy for Parkinson's disease,Hepatotoxicity (boxed warning), dyskinesias, hallucinations,Requires liver enzyme monitoring.
W18,Tolmetin,NSAID,Relief of pain and inflammation,GI upset, increased risk of cardiovascular events,N/A
X18,Tolterodine,Anticholinergic,Treatment of overactive bladder (OAB),Dry mouth, constipation,N/A
Y18,Tolvaptan,Vasopressin V2 receptor antagonist,Treatment of hyponatremia,"Too rapid correction of hyponatremia can cause osmotic demyelination (boxed warning), thirst, dry mouth",Requires inpatient initiation and monitoring.
Z18,Topiramate,Anticonvulsant,Treatment of seizures and migraine prophylaxis,Cognitive impairment ("brain fog"), paresthesias, weight loss,Can cause metabolic acidosis.
AA5,Topotecan,Topoisomerase I inhibitor,Treatment of ovarian cancer, small cell lung cancer, and cervical cancer,Myelosuppression, diarrhea,N/A
BB5,Toremifene,Selective estrogen receptor modulator (SERM),Treatment of metastatic breast cancer in postmenopausal women,Hot flashes, QT prolongation,N/A
CC5,Torsemide,Loop diuretic,Treatment of edema and hypertension,Hypokalemia, dehydration,Similar to furosemide.
DD5,Trabectedin,Alkylating agent,Treatment of liposarcoma and leiomyosarcoma,Neutropenia, nausea, hepatotoxicity,N/A
EE5,Tramadol,Atypical opioid agonist,Relief of moderate pain,Dizziness, nausea, constipation, seizure risk,Also has SNRI activity. Controlled substance.
FF5,Trandolapril,ACE inhibitor,Treatment of hypertension and heart failure post-MI,Cough, dizziness,N/A
GG5,Tranexamic acid,Antifibrinolytic,Treatment of heavy menstrual bleeding; prevention of bleeding in surgery,Thrombotic events, visual disturbances,N/A
HH5,Tranylcypromine,MAO inhibitor (non-selective),Treatment of depression,Orthostatic hypotension, dizziness, hypertensive crisis with tyramine-rich foods,Many food and drug interactions.
II5,Trastuzumab,Anti-HER2 monoclonal antibody,Treatment of HER2-positive breast cancer and gastric cancer,Cardiotoxicity, infusion reactions, pulmonary toxicity (boxed warnings),N/A
JJ5,Travoprost,Prostaglandin analog,Ophthalmic treatment of glaucoma,Iris color change (darkening), eyelash growth, ocular redness,N/A
KK5,Trazodone,Atypical antidepressant,Treatment of depression; commonly used off-label for insomnia,Sedation, priapism (rare), orthostatic hypotension,N/A
LL5,Treprostinil,Prostacyclin analog,Treatment of pulmonary arterial hypertension (PAH),Infusion site pain (subcutaneous), headache, jaw pain,Available in IV, SC, inhaled, and oral formulations.
MM5,Tretinoin,Retinoid,Topical treatment for acne; oral treatment for acute promyelocytic leukemia (APL),Skin irritation (topical); retinoic acid syndrome, headache (oral),Teratogenic.
NN5,Triamcinolone,Corticosteroid,Topical, injectable, inhaled, and oral use for various inflammatory conditions,Local or systemic side effects depending on formulation,N/A
OO5,Triamterene,Potassium-sparing diuretic,Treatment of edema (usually with another diuretic),Hyperkalemia, kidney stones,Can cause bluish discoloration of the urine.
PP5,Triazolam,Benzodiazepine,Short-term treatment of insomnia,Anterograde amnesia, drowsiness, dizziness,Short-acting.
QQ5,Trifluoperazine,Typical antipsychotic,Treatment of schizophrenia and anxiety,Extrapyramidal symptoms, sedation,N/A
RR5,Trifluridine/Tipiracil,Nucleoside analog combination,Treatment of metastatic colorectal cancer,Myelosuppression, fatigue, nausea,N/A
SS5,Trihexyphenidyl,Anticholinergic,Treatment of Parkinson's disease and drug-induced extrapyramidal symptoms,Dry mouth, blurred vision, constipation, confusion,Used to treat side effects of antipsychotics.
TT5,Trimethobenzamide,Antiemetic,Treatment of postoperative nausea and vomiting,Drowsiness, extrapyramidal symptoms,N/A
UU5,Trimipramine,Tricyclic antidepressant,Treatment of depression,Sedation, dry mouth, constipation,N/A
VV5,Triptorelin,GnRH agonist,Palliative treatment of advanced prostate cancer,Hot flashes, decreased libido,N/A
WW5,Trospium,Anticholinergic,Treatment of overactive bladder (OAB),Dry mouth, constipation,Less likely to cross the blood-brain barrier than oxybutynin.
XX5,Ulipristal,Selective progesterone receptor modulator,Emergency contraception,Headache, nausea, abdominal pain,N/A
YY5,Umeclidinium,Long-acting muscarinic antagonist (LAMA),Maintenance treatment of COPD,Nasopharyngitis, upper respiratory tract infection,Inhaled once daily.
ZZ5,Ustekinumab,IL-12 and IL-23 antagonist,Treatment of psoriasis, Crohn's disease, and ulcerative colitis,Nasopharyngitis, headache, fatigue,N/A
A19,Valacyclovir,Antiviral,Treatment of herpes virus infections (cold sores, genital herpes, shingles),Headache, nausea,Prodrug of acyclovir with better bioavailability.
B19,Valganciclovir,Antiviral,Treatment and prevention of CMV infection,Myelosuppression, headache, nausea,Prodrug of ganciclovir with better bioavailability.
C19,Valproic Acid,Anticonvulsant,Treatment of seizures, bipolar disorder, and migraine prevention,Hepatotoxicity, pancreatitis, teratogenicity (neural tube defects) (boxed warnings),N/A
D19,Valsartan,Angiotensin II receptor blocker (ARB),Treatment of hypertension and heart failure,Dizziness, hyperkalemia,Avoid in pregnancy.
E19,Vancomycin,Glycopeptide antibiotic,Treatment of serious gram-positive infections, including MRSA,Nephrotoxicity, infusion reaction ("red man syndrome"),Requires therapeutic drug monitoring.
F19,Vardenafil,PDE-5 inhibitor,Treatment of erectile dysfunction,Headache, flushing, nasal congestion,Contraindicated with nitrates.
G19,Varenicline,Nicotinic receptor partial agonist,Smoking cessation aid,Nausea, abnormal dreams, risk of serious neuropsychiatric events,N/A
H19,Vedolizumab,Integrin receptor antagonist,Treatment of ulcerative colitis and Crohn's disease,Nasopharyngitis, headache, arthralgia,Gut-selective; less risk of systemic infections than other biologics.
I19,Vemurafenib,Kinase inhibitor (BRAF inhibitor),Treatment of BRAF V600E mutation-positive melanoma,Rash, photosensitivity, arthralgia, risk of new skin cancers,N/A
J19,Venlafaxine,SNRI antidepressant,Treatment of depression, anxiety, and panic disorder,Nausea, headache, insomnia, can increase blood pressure,Can cause significant withdrawal symptoms.
K19,Verapamil,Calcium channel blocker,Treatment of hypertension, angina, and arrhythmias,Constipation, gingival hyperplasia, bradycardia,N/A
L19,Verteporfin,Photosensitizer,Used in photodynamic therapy for macular degeneration,Infusion site reactions, visual disturbances, photosensitivity,Avoid exposure to bright light for 5 days after treatment.
M19,Vigabatrin,Anticonvulsant,Treatment of infantile spasms and refractory complex partial seizures,Permanent vision loss (boxed warning), somnolence, fatigue,Requires enrollment in a restricted distribution program.
N19,Vilazodone,SSRI and 5-HT1A partial agonist,Treatment of depression,Diarrhea, nausea, dizziness,Take with food.
O19,Vildagliptin,DPP-4 inhibitor,Treatment of type 2 diabetes (not available in the US),Nasopharyngitis, headache,N/A
P19,Vilanterol,Long-acting beta-2 agonist (LABA),Used in combination with other drugs (e.g., fluticasone) for asthma and COPD,Increased risk of asthma-related death when used as monotherapy (boxed warning),N/A
Q19,Vinblastine,Vinca alkaloid,Treatment of various cancers,Myelosuppression, peripheral neuropathy,Fatal if given intrathecally (boxed warning).
R19,Vincristine,Vinca alkaloid,Treatment of various cancers,Peripheral neuropathy (major toxicity), constipation,Fatal if given intratheally (boxed warning).
S19,Vinorelbine,Vinca alkaloid,Treatment of non-small cell lung cancer,Myelosuppression, peripheral neuropathy,Fatal if given intrathecally (boxed warning).
T19,Vismodegib,Hedgehog pathway inhibitor,Treatment of metastatic or locally advanced basal cell carcinoma,Muscle spasms, alopecia, dysgeusia,Teratogenic.
U19,Vorapaxar,PAR-1 antagonist,Reduces thrombotic events in patients with a history of MI or PAD,Bleeding (boxed warning),Contraindicated in patients with history of stroke, TIA, or intracranial hemorrhage.
V19,Voriconazole,Azole antifungal,Treatment of invasive aspergillosis and other serious fungal infections,Visual disturbances, hepatotoxicity, photosensitivity,Potent inhibitor of many CYP enzymes; non-linear kinetics.
W19,Vortioxetine,Atypical antidepressant,Treatment of depression,Nausea,N/A
X19,Warfarin,Vitamin K antagonist,Anticoagulant for prevention and treatment of blood clots,Bleeding (boxed warning),Many drug and food (Vitamin K) interactions; requires INR monitoring.
Y19,Zafirlukast,Leukotriene receptor antagonist,Treatment of asthma,Hepatotoxicity, headache,N/A
Z19,Zaleplon,Nonbenzodiazepine hypnotic,Short-term treatment of insomnia,Drowsiness, dizziness,Ultra-short half-life.
AA6,Zidovudine (AZT),Nucleoside reverse transcriptase inhibitor (NRTI),Treatment of HIV infection,Myelosuppression (anemia, neutropenia), nausea, headache,The first drug approved for HIV.
BB6,Ziprasidone,Atypical antipsychotic,Treatment of schizophrenia and bipolar disorder,QT prolongation (contraindicated in patients with QT prolongation), somnolence, rash,Should be taken with food.
CC6,Zoledronic acid,Bisphosphonate,Treatment of osteoporosis, hypercalcemia of malignancy, and bone metastases,Fever, flu-like symptoms (acute phase reaction); osteonecrosis of the jaw, nephrotoxicity,Administered IV.
DD6,Zolmitriptan,5-HT1 receptor agonist (triptan),Acute treatment of migraine,Dizziness, paresthesias, chest tightness,Available as nasal spray and oral tablet.
EE6,Zolpidem,Nonbenzodiazepine hypnotic,Short-term treatment of insomnia,Drowsiness, dizziness, complex sleep-related behaviors,Controlled substance.
FF6,Zonisamide,Anticonvulsant,Adjunctive treatment of partial-onset seizures,Somnolence, dizziness, cognitive impairment,Sulfonamide derivative; risk of rash.
GG6,Azelastine,Antihistamine,"Relief of nasal allergy symptoms (nasal spray) and allergic conjunctivitis (eye drops)",Bitter taste, somnolence, headache,N/A
HH6,Emedastine,Antihistamine,"Relief of allergic conjunctivitis (eye drops)",Headache, abnormal dreams,N/A
II6,Levocabastine,Antihistamine,"Relief of allergic conjunctivitis (eye drops)",Transient stinging, headache,N/A
JJ6,Olopatadine,Antihistamine/Mast cell stabilizer,"Relief of allergic conjunctivitis (eye drops) and nasal allergy symptoms (nasal spray)",Headache, altered taste,N/A
KK6,Tenapanor,NHE3 Inhibitor,Treatment of Irritable Bowel Syndrome with Constipation (IBS-C),Diarrhea, Abdominal Distension,"Risk of Serious Dehydration in Pediatric Patients"
LL6,Tepotinib,MET inhibitor,"Treatment of metastatic non-small cell lung cancer (NSCLC) with METex14 skipping alterations",Edema, fatigue, nausea,"Interstitial Lung Disease (Pneumonitis), Hepatotoxicity"
MM6,Tovorafenib,Type II RAF inhibitor,Treatment of pediatric low-grade glioma (LGG) with a BRAF alteration,Hair color changes, fatigue, rash,"Skin Toxicity, Hemorrhage, Embryo-Fetal Toxicity"
NN6,Capivasertib,AKT inhibitor,"Treatment of HR-positive, HER2-negative breast cancer with specific gene alterations",Diarrhea, skin adverse reactions, hyperglycemia,"Hyperglycemia, Diarrhea, Cutaneous Adverse Reactions"
OO6,Fruquintinib,VEGFR inhibitor,"Treatment of metastatic colorectal cancer",Hypertension, hand-foot skin reaction, proteinuria,"Hypertension, Hemorrhagic Events, Impaired Wound Healing"
PP6,Repotrectinib,ROS1/TRK inhibitor,"Treatment of ROS1-positive non-small cell lung cancer (NSCLC) and NTRK gene fusion-positive solid tumors",Dizziness, dysgeusia, peripheral neuropathy,"Central Nervous System Effects, Interstitial Lung Disease/Pneumonitis, Hepatotoxicity"
QQ6,Toripalimab,PD-1 blocking antibody,"Treatment of nasopharyngeal carcinoma",Fatigue, hypothyroidism, musculoskeletal pain,"Immune-Mediated Adverse Reactions, Infusion-Related Reactions"
RR6,Ivosidenib,IDH1 inhibitor,"Treatment of acute myeloid leukemia (AML) and cholangiocarcinoma with a susceptible IDH1 mutation",Fatigue, nausea, diarrhea,"Differentiation Syndrome, QT Prolongation, Guillain-Barré Syndrome"
SS6,Olaparib,PARP inhibitor,Treatment of ovarian, breast, pancreatic, and prostate cancer with specific mutations,Anemia, fatigue, nausea,"Myelodysplastic Syndrome/Acute Myeloid Leukemia (MDS/AML), Pneumonitis"
TT6,Talazoparib,PARP inhibitor,Treatment of gBRCAm HER2-negative locally advanced or metastatic breast cancer,Anemia, fatigue, nausea,"Myelodysplastic Syndrome/Acute Myeloid Leukemia (MDS/AML), Myelosuppression"
UU6,Niraparib,PARP inhibitor,Maintenance treatment for ovarian, fallopian tube, or primary peritoneal cancer,Thrombocytopenia, anemia, nausea,"Myelodysplastic Syndrome/Acute Myeloid Leukemia (MDS/AML), Myelosuppression"
VV6,Rucaparib,PARP inhibitor,Treatment of ovarian and prostate cancer with specific mutations,Nausea, anemia, fatigue,"Myelodysplastic Syndrome/Acute Myeloid Leukemia (MDS/AML)"
WW6,Abemaciclib,CDK4/6 inhibitor,Treatment of HR-positive, HER2-negative breast cancer,Diarrhea, neutropenia, fatigue,"Diarrhea, Interstitial Lung Disease (ILD)/Pneumonitis, Hepatotoxicity"
XX6,Ribociclib,CDK4/6 inhibitor,Treatment of HR-positive, HER2-negative breast cancer,Neutropenia, nausea, fatigue,"QT Prolongation, Interstitial Lung Disease/Pneumonitis, Hepatotoxicity"
YY6,Palbociclib,CDK4/6 inhibitor,Treatment of HR-positive, HER2-negative breast cancer,Neutropenia, fatigue, nausea,"Interstitial Lung Disease (ILD)/Pneumonitis"
ZZ6,Enfortumab vedotin,Nectin-4-directed antibody-drug conjugate,Treatment of locally advanced or metastatic urothelial cancer,Rash, peripheral neuropathy, fatigue,"Skin Reactions, Hyperglycemia, Pneumonitis/Interstitial Lung Disease"
A10,Sacituzumab govitecan,Trop-2-directed antibody-drug conjugate,Treatment of metastatic triple-negative breast cancer and urothelial cancer,Neutropenia, diarrhea, nausea,"Severe Neutropenia, Severe Diarrhea"
B10,Trastuzumab deruxtecan,HER2-directed antibody-drug conjugate,Treatment of HER2-positive or HER2-low breast cancer, non-small cell lung cancer, and gastric cancer,Nausea, fatigue, neutropenia,"Interstitial Lung Disease/Pneumonitis, Neutropenia"
C10,Polatuzumab vedotin,CD79b-directed antibody-drug conjugate,Treatment of diffuse large B-cell lymphoma,Peripheral neuropathy, neutropenia, fatigue,"Peripheral Neuropathy, Infusion-Related Reactions, Myelosuppression"
D10,Belantamab mafodotin,BCMA-directed antibody-drug conjugate,Treatment of multiple myeloma,Ocular toxicity (changes in vision, dry eyes), thrombocytopenia,"Ocular Toxicity"
E10,Loncastuximab tesirine,CD19-directed antibody-drug conjugate,Treatment of large B-cell lymphoma,Thrombocytopenia, elevated GGT, fatigue,"Effusion and Edema, Myelosuppression"
